id," name"," address"," zip_code"," city"," state",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
153," Joe Tess Place"," 5424 South 24th Street"," 68102"," Omaha"," NE",41.203551,-95.94721,1,range_interpolation,5424,"S 24th St",Omaha,NE,"Douglas County",68107,US
154," Big Jim's"," 201 Saline Street"," 15201"," Pittsburgh"," PA",40.427065,-79.949528,1,range_interpolation,201,"Saline St",Pittsburgh,PA,"Allegheny County",15207,US
155," Hob Nob Hill"," 2271 First Ave"," 92101"," San Diego"," CA",32.729118,-117.163772,0.9,range_interpolation,2271,"1st Ave","San Diego",CA,"San Diego County",92101,US
156," Tufano's Vernon Park Tap"," 1073 W Vernon Park"," 60607"," Chicago"," IL",41.751444,-87.613723,0.8,street_center,,"S Vernon Ave",Chicago,IL,"Cook County",60619,US
157," The Silver Skillet"," 200 14th St."," 30318"," Atlanta"," GA",33.786468,-84.396056,1,range_interpolation,200,"14th St NW",Atlanta,GA,"Fulton County",30318,US
158," Wilsons BBQ"," 1851 Post Rd"," 06824"," Fairfield"," CT",41.140961,-73.264204,1,range_interpolation,1851,"Post Rd",Fairfield,CT,"Fairfield County",06824,US
159," Standard Diner"," 320 Central Ave. SE"," 87102"," Albuquerque"," NM",35.08334,-106.643354,1,range_interpolation,320,"Central Ave NW",Albuquerque,NM,"Bernalillo County",87102,US
160," Salsa Brava"," 2220 E Route 66"," 86004"," Flagstaff"," AZ",35.203542,-111.615806,1,range_interpolation,2220,"E Old Route 66",Flagstaff,AZ,"Coconino County",86004,US
161," Dell Rhea's Chicken Basket"," 645 Joliet Road"," 60527"," Willowbrook"," IL",41.743508,-87.941266,1,range_interpolation,645,"Joliet Rd",Hinsdale,IL,"DuPage County",60527,US
162," Green Mesquite"," 1400 Barton Springs Rd."," 78704"," Austin"," TX",30.261026,-97.759158,1,range_interpolation,1400,"Barton Springs Rd",Austin,TX,"Travis County",78704,US
163," Gorilla Barbeque"," 2145 Coast Highway"," 94044"," Pacifica"," CA",37.61226,-122.489299,1,range_interpolation,2145,"Coast Hwy",Pacifica,CA,"San Mateo County",94044,US
164," Hank's Creekside Restaurant"," 2800 4th St."," 95405"," Santa Rosa"," CA",38.447072,-122.70177,0.8,street_center,,"4th St","Santa Rosa",CA,"Sonoma County",95404,US
165," Rivershack Tavern"," 3449 River Rd."," 70121"," Jefferson"," LA",29.959735,-90.15502,0.8,street_center,,"River Rd","New Orleans",LA,"Jefferson Parish",70121,US
166," Blue Plate Diner"," 2041 S 2100 E"," 84108"," Salt Lake City"," UT",40.726534,-111.830643,1,range_interpolation,2041,"S 2100 E","Salt Lake City",UT,"Salt Lake County",84108,US
167," Broadway Diner"," 6501 Eastern Ave"," 21224"," Baltimore"," MD",39.287478,-76.53662,1,rooftop,6501,"Eastern Ave",Baltimore,MD,"Baltimore city",21224,US
168," The Highlander"," 931 Monroe Dr."," 30308"," Atlanta"," GA",33.779734,-84.367603,1,rooftop,931,"Monroe Dr NE",Atlanta,GA,"Fulton County",30308,US
169," Guys Gumbo Shack"," 212 1/2 Fairhope Ave."," 36532"," Fairhope"," AL",30.523531,-87.910366,1,range_interpolation,"212 1/2","Fairhope Ave",Fairhope,AL,"Baldwin County",36532,US
170," Starlite Lounge"," 364 Freeport Road"," 15238"," Blawnox"," PA",40.494033,-79.860352,1,range_interpolation,364,"Freeport Rd",Pittsburgh,PA,"Allegheny County",15238,US
171," Casino El Camino"," 517 E 6th St."," 78701"," Austin"," TX",30.26659,-97.738145,1,range_interpolation,517,"E 6th St",Austin,TX,"Travis County",78701,US
172," G and A Restaurant"," 3802 Eastern Avenue"," 21224"," Baltimore"," MD",39.286987,-76.565112,1,rooftop,3802,"Eastern Ave",Baltimore,MD,"Baltimore city",21224,US
173," Uncle Lou's"," 3633 Millbranch Road"," 38116"," Memphis"," TN",35.04962,-90.007624,1,range_interpolation,3633,"Millbranch Rd",Memphis,TN,"Shelby County",38116,US
174," Captain Chuck-a-Mucks"," 21088 Marina Road"," 23314"," Carrollton"," VA",36.994763,-76.562064,1,rooftop,21088,"Marina Rd",Carrollton,VA,"Isle of Wight County",23314,US
175," Dixie Quick's"," 157 West Broadway"," 51503"," Council Bluffs"," IA",41.263556,-95.843257,1,range_interpolation,157,"E Broadway","Council Bluffs",IA,"Pottawattamie County",51503,US
176," Cabbagetown CLOSED"," 198 Carroll St. SE"," 30312"," Atlanta"," GA",33.760387,-84.366421,1,range_interpolation,198,"Corley St NE",Atlanta,GA,"Fulton County",30312,US
177," The Cove"," 606 W. Cypress St."," 78212"," San Antonio"," TX",29.440501,-98.500751,1,range_interpolation,606,"W Cypress St","San Antonio",TX,"Bexar County",78212,US
178," Bryant Lake Bowl"," 801 W Lake St."," 55408"," Minneapolis"," MN",44.948514,-93.289375,1,range_interpolation,801,"W Lake St",Minneapolis,MN,"Hennepin County",55408,US
179," Jamaica Kitchen"," 8736 SW 72 Street Miami"," FL 33173"," 33173"," Miami"," FL",25.702026,-80.337462,1,range_interpolation,8736,"SW 72nd St",Miami,FL,"Miami-Dade County",33173,US
180," Crystal Restaurant"," 1211 Penn Avenue"," 15222"," Pittsburgh"," PA",40.445957,-79.992386,1,range_interpolation,1211,"Penn Ave",Pittsburgh,PA,"Allegheny County",15222,US
181," Red Iguana"," 736 W North Temple"," 84116"," Salt Lake City"," UT",40.77169,-111.912034,0.9,range_interpolation,736,"N Temple St","Salt Lake City",UT,"Salt Lake County",84116,US
182," Colonnade"," 1879 Cheshire Bridge Road NE"," 30084"," Atlanta"," GA",33.80959,-84.361131,1,range_interpolation,1879,"Cheshire Bridge Rd",Atlanta,GA,"Fulton County",30324,US
183," Manci's Antique Club"," 1715 Main St."," 36526"," Daphne"," AL",30.603494,-87.902886,1,range_interpolation,1715,"Main St",Daphne,AL,"Baldwin County",36526,US
184," Amato's"," 6405 Center Street"," 68016"," Omaha"," NE",41.237742,-96.011968,1,range_interpolation,6405,"Center St",Omaha,NE,"Douglas County",68106,US
185," Darwell's Cafe"," 127 E. First St."," 39560"," Long Beach"," MS",30.350379,-89.150642,1,range_interpolation,127,"E 1st St","Long Beach",MS,"Harrison County",39560,US
186," Brick Oven Pizza"," 800 S Broadway"," 21231"," Baltimore"," MD",39.282453,-76.59372,1,rooftop,800,"S Broadway",Baltimore,MD,"Baltimore city",21231,US
187," Nadine's"," 19 S. 27th St."," 19203"," Pittsburgh"," PA",40.426328,-79.967265,1,range_interpolation,19,"S 27th St",Pittsburgh,PA,"Allegheny County",15203,US
188," Casamento's"," 4330 Magazine St."," 70115"," New Orleans"," LA",29.920724,-90.100473,1,range_interpolation,4330,"Magazine St","New Orleans",LA,"Orleans Parish",70115,US
189," Big Mama's"," 3223 North 45th St."," 68104"," Omaha"," NE",41.287981,-95.980449,1,range_interpolation,3223,"N 45th St",Omaha,NE,"Douglas County",68104,US
190," Moochie's Meatballs"," 232 E 800 S."," 84111"," Salt Lake City"," UT",40.751803,-111.884191,1,range_interpolation,232,"E 800 S","Salt Lake City",UT,"Salt Lake County",84111,US
191," Cemita's Puebla"," 3619 North Ave"," 60647"," Chicago"," IL",41.89063,-87.618745,0.8,street_center,,"N New St",Chicago,IL,"Cook County",60611,US
192," Tioli's Crazee Burger"," 4201 30th Street"," 92104"," San Diego"," CA",32.754377,-117.129806,1,rooftop,4201,"30th St","San Diego",CA,"San Diego County",92104,US
193," Cecilia's Cafe"," 230 6TH St. SW"," 87102"," Albuquerque"," NM",35.083534,-106.654066,1,range_interpolation,230,"6th St SW",Albuquerque,NM,"Bernalillo County",87102,US
194," Joey K's"," 3001 Magazine St"," 70115"," New Orleans"," LA",29.92485,-90.084623,1,range_interpolation,3001,"Magazine St","New Orleans",LA,"Orleans Parish",70115,US
195," Kelly O's"," 1130 Perry Hwy"," 15237"," Pittsburgh"," PA",40.546031,-80.035924,1,range_interpolation,1130,"Perry Hwy",Pittsburgh,PA,"Allegheny County",15237,US
196," Giusti's"," 14743 Walnut Grove-Thornton Road"," 95690"," Walnut Grove"," CA",38.223783,-121.507214,1,range_interpolation,14743,"Walnut Grove-thornton Rd","Walnut Grove",CA,"Sacramento County",95690,US
197," Louie's"," 1839 N Henderson Avenue"," 75206"," Dallas"," TX",32.810782,-96.77401,1,range_interpolation,1839,"N Henderson Ave",Dallas,TX,"Dallas County",75206,US
198," Super Duper Weenie"," 306 Black Rock Turnpike"," 06825"," Fairfield"," CT",41.164814,-73.234171,1,range_interpolation,306,"Black Rock Tpke",Fairfield,CT,"Fairfield County",06825,US
199," California Taco"," 3235 California Street"," 68131"," Omaha"," NE",41.264639,-95.960312,1,range_interpolation,3235,"California St",Omaha,NE,"Douglas County",68131,US
200," Bert's Burger Bowl"," 235 N Guadalupe St."," 87501"," Santa Fe"," NM",35.689711,-105.943999,1,range_interpolation,235,"N Guadalupe St","Santa Fe",NM,"Santa Fe County",87501,US
201," Chef Point Cafe"," 5901 Watauga Rd."," 76148"," Watauga"," TX",32.860684,-97.253923,1,range_interpolation,5901,"Watauga Rd","Fort Worth",TX,"Tarrant County",76148,US
202," Jamie's Grill and Bar"," 427 Braodway"," 95818"," Sacramento"," CA",38.557255,-121.495915,0.33,place,,,Sacramento,CA,"Sacramento County",95818,US
203," Black Duck Cafe"," 605 Riverside Avenue"," 06800"," Westport"," CT",41.120172,-73.370295,1,range_interpolation,605,"Riverside Ave",Westport,CT,"Fairfield County",06880,US
204," Backroad Pizza"," 1807 2nd Street"," 87505"," Santa Fe"," NM",35.663305,-105.965643,1,range_interpolation,1807,"2nd St","Santa Fe",NM,"Santa Fe County",87505,US
205," Kuma's Corner"," 2900 W Belmont Ave"," 60618"," Chicago"," IL",41.939227,-87.700276,1,range_interpolation,2900,"W Belmont Ave",Chicago,IL,"Cook County",60618,US
206," Slim's Last Chance"," 5606 1st Avenue S"," 98108"," Seattle"," WA",47.55266,-122.334067,1,range_interpolation,5606,"1st Ave S",Seattle,WA,"King County",98108,US
207," Cafe Rolle"," 5737 H Street"," 95819"," Sacramento"," CA",38.567494,-121.43182,1,range_interpolation,5737,"H St",Sacramento,CA,"Sacramento County",95819,US
208," Bar Gernika"," 202 South Capitol Blvd"," 83714"," Boise"," ID",43.615725,-116.201435,1,range_interpolation,202,"S Capitol Blvd",Boise,ID,"Ada County",83702,US
209," Havana Hideout"," 509 Lake Avenue"," 33460"," Lake Worth"," FL",26.615541,-80.053757,1,rooftop,509,"Lake Ave","Lake Worth",FL,"Palm Beach County",33460,US
210," Los Taquitos"," 4747 East Elliot Road"," 85044"," Phoenix"," AZ",33.348756,-111.983975,1,range_interpolation,4747,"E Elliot Rd",Phoenix,AZ,"Maricopa County",85044,US
211," Fred's Texas Cafe"," 915 Currie Street"," 76107"," Ft. Worth"," TX",32.750019,-97.358218,1,range_interpolation,915,"Currie St","Fort Worth",TX,"Tarrant County",76107,US
212," Blue Water Seafood"," 3667 India Street"," 92103"," San Diego"," CA",32.742072,-117.179771,1,rooftop,3667,"India St","San Diego",CA,"San Diego County",92103,US
213," Creolina's Dixie Take Out CLOSED"," 13150 West State Road 84"," 33325"," Davie"," FL",26.116939,-80.322615,1,range_interpolation,13150,"State Hwy 84","Fort Lauderdale",FL,"Broward County",33325,US
214," Sol Food"," 901 Lincoln Ave"," 94901"," San Rafael"," CA",37.971801,-122.524059,1,range_interpolation,901,"Lincoln Ave","San Rafael",CA,"Marin County",94901,US
215," Georgia's Greek"," 323 NW 85th Street"," 98117"," Seattle"," WA",47.690475,-122.360783,1,range_interpolation,323,"NW 85th St",Seattle,WA,"King County",98117,US
216," Over Easy"," 4730 E Indian School Road"," 85018"," Phoenix"," AZ",33.494821,-111.980111,1,range_interpolation,4730,"E Indian School Rd",Phoenix,AZ,"Maricopa County",85018,US
217," Avila's"," 4714 Maple Avenue"," 75219"," Dallas"," TX",32.813956,-96.825324,1,range_interpolation,4714,"Maple Ave",Dallas,TX,"Dallas County",75219,US
218," West Side Drive-In"," 1939 West State Street"," 83702"," Boise"," ID",43.625281,-116.213828,1,range_interpolation,1939,"W State St",Boise,ID,"Ada County",83702,US
219," Bizzarro Italian Cafe"," 1307 N 46th Street"," 98103"," Seattle"," WA",47.661973,-122.34199,1,range_interpolation,1307,"N 46th St",Seattle,WA,"King County",98103,US
220," La Piazza Al Forno"," 5803 W Glendale Avenue"," 85301"," Glendale"," AZ",33.538418,-112.183797,1,range_interpolation,5803,"W Glendale Ave",Glendale,AZ,"Maricopa County",85301,US
221," Twisted Root Burger Company"," 2615 Commerce Street"," 75226"," Dallas"," TX",32.782678,-96.786684,1,range_interpolation,2615,"Commerce St",Dallas,TX,"Dallas County",75226,US
222," Arleta Library Bakery and Cafe"," 5513 SE 72nd"," 97206"," Portland"," OR",45.482982,-122.58939,1,range_interpolation,5513,"SE 72nd Ave",Portland,OR,"Multnomah County",97206,US
223," Bubba's Diner"," 566 San Anselmo Avenue"," 94960"," San Anselmo"," CA",37.976318,-122.563199,1,range_interpolation,566,"San Anselmo Ave","San Anselmo",CA,"Marin County",94960,US
224," Flakowitz of Boynton"," 7410 West Boynton Beach Blvd"," 33437"," Boynton Beach"," FL",26.526435,-80.163002,1,rooftop,7410,"Boynton Beach Blvd","Boynton Beach",FL,"Palm Beach County",33437,US
225," Jamaica Gates Caribbean Cuisine"," 1020 W Arkansas"," 76013"," Arlington"," TX",32.706303,-97.118871,1,range_interpolation,1020,"W Arkansas Ln",Arlington,TX,"Tarrant County",76013,US
226," Otto's Sausage"," 4138 SE Woodstock Blvd"," 97202"," Portland"," OR",45.479038,-122.620299,1,range_interpolation,4138,"SE Woodstock Blvd",Portland,OR,"Multnomah County",97202,US
227," Zia Diner"," 326 South Guadalupe"," 87501"," Santa Fe"," NM",35.685627,-105.945487,1,range_interpolation,326,"S Guadalupe St","Santa Fe",NM,"Santa Fe County",87501,US
228," Southern Kitchen"," 1716 6th Avenue"," 98405"," Tacoma"," WA",47.256087,-122.46152,1,range_interpolation,1716,"6th Ave",Tacoma,WA,"Pierce County",98405,US
229," Giuseppe's"," 2824 E Indian Road"," 85016"," Phoenix"," AZ",32.956657,-112.72595,0.8,street_center,,"W Indian Rd","Gila Bend",AZ,"Maricopa County",85337,US
230," Blue Marlin"," 2500 North East 163rd Street"," 33302"," Miami"," FL",25.925278,-80.175351,0.8,street_center,,"NE 163rd St",Miami,FL,"Miami-Dade County",33162,US
231," Pine State Biscuits"," 2204 NE Alberta Street"," 97211"," Portland"," OR",45.558915,-122.642856,1,range_interpolation,2204,"NE Alberta St",Portland,OR,"Multnomah County",97211,US
232," Rocco's Ristorante"," 1131 Folsom Street"," 94103"," San Francisco"," CA",37.775955,-122.408454,1,rooftop,1131,"Folsom St","San Francisco",CA,"San Francisco County",94103,US
233," Donn's Hilltop Kodiak Grill CLOSED"," 12342 East Highway 21"," 83716"," Boise"," ID",43.609842,-116.181804,0.8,street_center,,"E State St",Boise,ID,"Ada County",83712,US
234," La Camaronera"," 1952 West Flagler Street"," 33135"," Miami"," FL",25.772525,-80.227456,1,range_interpolation,1952,"State Hwy 968",Miami,FL,"Miami-Dade County",33135,US
235," Dottie's True Blue Cafe"," 28 6th Street"," 94103"," San Francisco"," CA",37.781544,-122.409696,1,range_interpolation,28,"6th St","San Francisco",CA,"San Francisco County",94103,US
236," Tre Kronor"," 3258 Foster Avenue"," 60625"," Chicago"," IL",41.975876,-87.710349,1,range_interpolation,3258,"Foster Ave",Chicago,IL,"Cook County",60625,US
237," Rick's Press Room Grill and Bar"," 130 East Idaho Street"," 83642"," Meridian"," ID",43.611192,-116.395707,0.9,range_interpolation,130,"W Idaho Ave",Meridian,ID,"Ada County",83642,US
238," Mama E's Wings and Waffles"," 3838 Springlake Drive"," 73111"," Oklahoma City"," OK",35.509278,-97.49229,1,range_interpolation,3838,"Springlake Dr","Oklahoma City",OK,"Oklahoma County",73111,US
239," Haus Murphy's"," 5739 W. Glendale Avenue"," 85301"," Glendale"," AZ",33.538407,-112.182635,1,range_interpolation,5739,"W Glendale Ave",Glendale,AZ,"Maricopa County",85301,US
240," Comet Cafe"," 1947 N Farwell Ave."," 53202"," Milwaukee"," WI",43.056231,-87.889406,1,range_interpolation,1947,"N Farwell Ave",Milwaukee,WI,"Milwaukee County",53202,US
241," Bette’s Oceanview Diner"," 1807 4th Street"," 94710"," Berkeley"," CA",37.870453,-122.300715,1,range_interpolation,1807,"4th St",Berkeley,CA,"Alameda County",94710,US
242," Bob’s Taco Station"," 1901 Ave H"," 77471"," Rosenberg"," TX",29.555889,-95.858475,1,place,,,Rosenberg,TX,"Fort Bend County",77471,US
243," Cafe Pita"," 10890 Westheimer Road"," 77042"," Houston"," TX",29.736879,-95.568326,1,range_interpolation,10890,"Fm 1093",Houston,TX,"Harris County",77042,US
244," Cattlemen's Steakhouse"," 1309 S Agnew Ave"," 73108"," Oklahoma City"," OK",35.452731,-97.554777,1,range_interpolation,1309,"S Agnew Ave","Oklahoma City",OK,"Oklahoma County",73108,US
245," Eischen's Bar"," 109 N 2nd Street"," 73762"," Okarche"," OK",35.725904,-97.975456,1,range_interpolation,109,"N 2nd St",Okarche,OK,"Kingfisher County",73762,US
246," Fab Hot Dogs"," 19417 Victory Blvd"," 91335"," Reseda"," CA",34.186832,-118.556036,1,rooftop,19417,"Victory Blvd",Reseda,CA,"Los Angeles County",91335,US
247," Ingrid's Kitchen"," 3701 N Youngs Blvd"," 73112"," Oklahoma City"," OK",35.507872,-97.552137,1,range_interpolation,3701,"N Youngs Blvd","Oklahoma City",OK,"Oklahoma County",73112,US
248," Kenny and Ziggy's Deli"," 2327 Post Oak Blvd"," 77056"," Houston"," TX",29.741693,-95.460871,0.9,range_interpolation,2327,"Post Oak Blvd",Houston,TX,"Harris County",77056,US
249," Lankford Grocery and Market"," 88 Dennis St"," 77006"," Houston"," TX",29.750045,-95.383853,1,rooftop,88,"Dennis St",Houston,TX,"Harris County",77006,US
250," Mambo's Cafe"," 1701 Victory Blvd"," 91201"," Glendale"," CA",34.161603,-118.300251,1,rooftop,1701,"Victory Blvd",Glendale,CA,"Los Angeles County",91201,US
251," Mom's Tamales"," 3328 Pasadena Ave"," 90031"," Los Angeles"," CA",34.083838,-118.213379,1,rooftop,3328,"Pasadena Ave","Los Angeles",CA,"Los Angeles County",90031,US
252," Nic's Grill"," 1201 N Pennsylvania Ave"," 73107"," Oklahoma City"," OK",35.480897,-97.547696,1,range_interpolation,1201,"N Pennsylvania Ave","Oklahoma City",OK,"Oklahoma County",73107,US
253," Niko Niko's"," 2520 Montrose Blvd"," 77006"," Houston"," TX",29.746514,-95.392185,1,rooftop,2520,"Montrose Blvd",Houston,TX,"Harris County",77006,US
254," PizzalChik"," 7330 W State St"," 83714"," Garden City"," ID",43.669154,-116.280083,1,range_interpolation,7330,"W State St","Garden City",ID,"Ada County",83714,US
255," Podnah's Pit Barbeque"," 1625 NE Killingsworth"," 97211"," Portland"," OR",45.562865,-122.648685,1,range_interpolation,1625,"NE Killingsworth St",Portland,OR,"Multnomah County",97211,US
256," Pok Pok Restaurant"," 3226 SE Division St"," 97202"," Portland"," OR",45.504646,-122.632409,1,range_interpolation,3226,"SE Division St",Portland,OR,"Multnomah County",97202,US
257," Q Restaurant"," 225 Clement St"," 94118"," San Francisco"," CA",37.782826,-122.461686,1,rooftop,225,"Clement St","San Francisco",CA,"San Francisco County",94118,US
258," T-Bone Tom's Steakhouse"," 707 Hwy 146"," 77565"," Kemah"," TX",29.541716,-95.02005,1,range_interpolation,707,"State Hwy 146",Kemah,TX,"Galveston County",77565,US
259," The Diner"," 213 E Main St"," 73069"," Norman"," OK",35.221725,-97.441802,1,range_interpolation,213,"E Main St",Norman,OK,"Cleveland County",73069,US
260," The Nickel Diner"," 524 S Main St"," 90013"," Los Angeles"," CA",34.046004,-118.248956,1,rooftop,524,"S  Main St","Los Angeles",CA,"Los Angeles County",90013,US
261," The Red Lion Pub"," 2316 S Shepherd Dr"," 77019"," Houston"," TX",29.745664,-95.411003,1,rooftop,2316,"S  Shepherd Dr",Houston,TX,"Harris County",77019,US
262," The Shanty"," 38995 N Old Highway 41"," 60083"," Wadsworth"," IL",42.428908,-87.937757,1,range_interpolation,38995,"N Us Hwy 41",Wadsworth,IL,"Lake County",60083,US
263," Tex Wasabi's Santa Rosa"," 515 4th Street"," 95401"," Santa Rosa"," CA",38.439951,-122.715512,1,range_interpolation,515,"4th St","Santa Rosa",CA,"Sonoma County",95404,US
264," Tex Wasabi's Sacramento"," 2243 Arden Way"," 95825"," Sacramento"," CA",38.596252,-121.412739,1,range_interpolation,2243,"Arden Way",Sacramento,CA,"Sacramento County",95825,US
265," Johnny Garlic's Windsor CA"," 8988 Brooks Road South"," 9542"," Windsor"," CA",38.555999,-122.807251,1,range_interpolation,8988,"Brooks Rd S",Windsor,CA,"Sonoma County",95492,US
266," Johnny Garlic's Santa Rosa CA"," 1460 Farmers Lane"," 95405"," Santa Rosa"," CA",38.434364,-122.687587,1,range_interpolation,1460,"Farmers Ln","Santa Rosa",CA,"Sonoma County",95405,US
267," Johnny Garlic's Roseville CA"," 10505 Fairway Drive"," 95678"," Roseville"," CA",38.251262,-121.29188,0.8,street_center,,"Fairway Dr",Galt,CA,"Sacramento County",95632,US
268," Bunk Sandwiches"," 621 SE Morrison Street"," 97214"," Portland"," OR",45.517373,-122.659578,1,range_interpolation,621,"SE Morrison St",Portland,OR,"Multnomah County",97214,US
269," Sonny's Famous Steak Hoagies"," 1857 NW 66TH Ave"," 33024"," Hollywood"," FL",26.025877,-80.220593,1,range_interpolation,1857,"NW 66th Ave",Hollywood,FL,"Broward County",33024,US
270," The Depot American Diner CLOSED"," 5840 W Roosevelt Road"," 60644"," Chicago"," IL",41.865659,-87.770531,1,range_interpolation,5840,"W Roosevelt Rd",Chicago,IL,"Cook County",60644,US
271," Brandy's Restaurant and Bakery"," 1500 E Cedar Ave"," "," Flagstaff"," AZ",35.218955,-111.624632,1,range_interpolation,1500,"E Cedar Ave",Flagstaff,AZ,"Coconino County",86004,US
272," Blueplate Lunch Counter and Soda Fountain"," 308 SW Washington Street"," "," Portland"," OR",45.519469,-122.674927,1,range_interpolation,308,"SW Washington St",Portland,OR,"Multnomah County",97204,US
273," Polka Catering"," 4112 Verdugo Road"," "," Los Angeles"," CA",34.125509,-118.231629,1,rooftop,4112,"Verdugo Rd","Los Angeles",CA,"Los Angeles County",90065,US
274," Whale's Rib Raw Bar"," 2031 NE 2nd Street"," "," Deerfield Beach"," FL",26.316656,-80.076608,1,rooftop,2031,"NE  2nd St","Deerfield Beach",FL,"Broward County",33441,US
275," Pam's Trinidadian Caribbean Kitchen"," 5000 University Way NE"," "," Seattle"," WA",47.664749,-122.313076,1,range_interpolation,5000,"University Way NE",Seattle,WA,"King County",98105,US
276," Prince Lebanese Grill"," 502 W Randol Mill Road"," "," Arlington"," TX",32.749926,-97.11137,1,range_interpolation,502,"W Randol Mill Rd",Arlington,TX,"Tarrant County",76011,US
277," Cempazuchi"," 1205 E Brady Street"," "," Milwaukee"," WI",43.052801,-87.896788,1,range_interpolation,1205,"E Brady St",Milwaukee,WI,"Milwaukee County",53202,US
278," Oinkster"," 2005 Colorado Blvd"," "," Eagle Rock"," CA",34.139417,-118.210558,1,rooftop,2005,"Colorado Blvd","Los Angeles",CA,"Los Angeles County",90041,US
279," Geraci's Restaurant"," 2266 Warrensville Center Road"," "," Cleveland"," OH",41.498229,-81.536392,1,range_interpolation,2266,"Warrensville Center Rd",Cleveland,OH,"Cuyahoga County",44118,US
280," Lucky's Cafe"," 777 Starkweather Ave"," "," Cleveland"," OH",41.477344,-81.682932,1,range_interpolation,777,"Starkweather Ave",Cleveland,OH,"Cuyahoga County",44113,US
281," Melt Bar and Grilled"," 14718 Detroit Ave"," "," Lakewood"," OH",41.485314,-81.798469,1,range_interpolation,14718,"Detroit Ave",Lakewood,OH,"Cuyahoga County",44107,US
282," Momocho Mod Mex"," 1835 Fulton Road"," "," Cleveland"," OH",41.483905,-81.709904,1,range_interpolation,1835,"Fulton Rd",Cleveland,OH,"Cuyahoga County",44113,US
283," Sterle's Slovenian Country House"," 1401 E 55th Street"," "," Cleveland"," OH",41.520653,-81.65178,1,range_interpolation,1401,"E 55th St",Cleveland,OH,"Cuyahoga County",44103,US
284," Bartley's Burger Cottage"," 1246 Massachusetts Ave"," "," Cambridge"," MA",42.372512,-71.116296,1,range_interpolation,1246,"Massachusetts Ave",Cambridge,MA,"Middlesex County",02138,US
285," Crazy Burger"," 144 Boon Street"," "," Narragansett"," RI",41.425804,-71.459929,1,range_interpolation,144,"Boon St",Narragansett,RI,"Washington County",02882,US
286," Morin's Hometown Bar and Grille"," 16 S Main Street"," "," Atteboro"," MA",0,0,0,,,,,,,,
287," Sam La Grassa's"," 44 Province Street"," "," Boston"," MA",42.356803,-71.059941,1,range_interpolation,44,"Province St",Boston,MA,"Suffolk County",02108,US
288," The Orchard House"," 14949 Sunnyslope Road"," "," Caldwell"," ID",43.587827,-116.792588,1,range_interpolation,14949,"Sunnyslope Rd",Caldwell,ID,"Canyon County",83607,US
289," Four Sisters Owl Diner"," 244 Appleton Street"," "," Lowell"," MA",42.639416,-71.313277,1,range_interpolation,244,"Appleton St",Lowell,MA,"Middlesex County",01852,US
290," Blackthorn Restaurant and Pub"," 2134 Seneca Street"," "," Buffalo"," NY",42.854377,-78.808434,1,range_interpolation,2134,"Seneca St",Buffalo,NY,"Erie County",14210,US
291," Earl's Drive-In CLOSED"," 12139 Olean Road"," "," Chaffee"," NY",42.544104,-78.478478,0.8,range_interpolation,12139,"Olean Rd",Collins,NY,"Erie County",14034,US
292," Grovers Bar and Grill"," 9160 Transit Road East"," "," Amherst"," NY",43.018346,-78.69709,1,range_interpolation,9160,"Transit Rd","East Amherst",NY,"Erie County",14051,US
293," Lake Effect Diner"," 3165 Main Street"," "," Buffalo"," NY",42.950277,-78.826705,1,range_interpolation,3165,"Main St",Buffalo,NY,"Erie County",14214,US
294," Liberty Elm Diner - CLOSED"," 777 Elmwood Ave"," "," Providence"," RI",41.791191,-71.422671,1,range_interpolation,777,"Elmwood Ave",Providence,RI,"Providence County",02907,US
295," Louie's Restaurant"," 286 Brook Street"," "," Providence"," RI",41.824661,-71.399059,1,range_interpolation,286,"Brook St",Providence,RI,"Providence County",02906,US
296," Pizza Junction"," 1269 Erie Avenue"," 14120"," Tonawanda"," NY",43.052729,-78.845118,1,range_interpolation,1269,"Erie Ave","North Tonawanda",NY,"Niagara County",14120,US
297," Sophia Restaurant"," 749 Military Road"," "," Buffalo"," NY",42.95946,-78.888976,1,range_interpolation,749,"Military Rd",Buffalo,NY,"Erie County",14217,US
298," Antojitos La Texanita"," 1667 Sebastopol Road"," "," Santa Rosa"," CA",38.427693,-122.738144,1,range_interpolation,1667,"Sebastopol Rd","Santa Rosa",CA,"Sonoma County",95407,US
299," Donnie Mac's Trailer Park CLOSED"," 1515 W Grove Street"," 83702"," Boise"," ID",43.619517,-116.21375,1,range_interpolation,1515,"Grove St",Boise,ID,"Ada County",83702,US
300," Tap Tap Restaurant"," 819 5th Street"," "," Miami Beach"," FL",25.774809,-80.136532,1,rooftop,819,"5th St","Miami Beach",FL,"Miami-Dade County",33139,US
301," Big Daddy's BBQ and Banquet"," 107 Wickersham Street"," "," Fairbanks"," AK",64.843631,-147.726049,1,range_interpolation,107,"Wickersham St",Fairbanks,AK,"Fairbanks North Star Borough",99701,US
302," Highway Inn"," 94-226 Leoku Street"," "," Waipahu"," HI",21.379857,-158.024394,1,range_interpolation,226,"Leoku St",Waipahu,HI,"Honolulu County",96797,US
303," Hot Licks"," 3453 College Road"," "," Fairbanks"," AK",64.856343,-147.806065,1,range_interpolation,3453,"College Rd",Fairbanks,AK,"Fairbanks North Star Borough",99709,US
